wielkość największej monety, 300, 500, 1000, 2000, 5000, 10000, 15000, 18000, 20000, 25000, 30000, 40000, 50000, 100000
avg_classic, 0.72661, 0.73041, 0.72069, 0.72123, 0.71782, 0.72157, 0.72613, 0.73105, 0.73679, 0.72344, 0.72909, 0.73879, 0.74008, 0.84750
avg_small u, 0.05022, 0.05074, 0.05507, 0.07501, 0.15221, 0.31986, 0.50401, 0.60091, 0.65662, 0.74198, 0.76827, 0.77221, 0.77320, 0.87889
stddev_classic, 0.01331, 0.01363, 0.00847, 0.01617, 0.01148, 0.01362, 0.01644, 0.01781, 0.01679, 0.01531, 0.01707, 0.01835, 0.02258, 0.03055
stddev_small u, 0.00115, 0.00124, 0.00163, 0.00166, 0.00374, 0.00757, 0.00850, 0.00731, 0.01722, 0.01934, 0.02744, 0.02939, 0.03092, 0.03304
