liczba monet, 200, 300, 400, 500, 600, 700, 800, 1000, 1200, 1600, 2000, 2400, 2800, 3200, 3600, 4000
avg_classic, 0.05887, 0.08283, 0.10444, 0.12966, 0.15615, 0.18352, 0.21227, 0.26402, 0.31767, 0.42633, 0.55801, 0.71265, 0.88945, 1.14853, 1.27836, 1.51460
avg_solution 2, 0.53250, 0.53231, 0.53098, 0.52991, 0.52190, 0.48754, 0.48863, 0.44495, 0.44445, 0.42194, 0.42230, 0.42239, 0.42190, 0.42268, 0.42302, 0.42186
avg_solution 4, 1.10092, 1.10203, 1.10217, 1.10180, 1.09605, 1.07809, 1.07813, 1.05449, 1.05504, 1.04196, 1.04142, 1.04224, 1.04205, 1.04097, 1.04089, 1.04247
stddev_classic, 0.00370, 0.00426, 0.00316, 0.00298, 0.00534, 0.00582, 0.00363, 0.00707, 0.00480, 0.00644, 0.00771, 0.01511, 0.03977, 0.04576, 0.07505, 0.07382
stddev_solution 2, 0.00157, 0.00273, 0.00243, 0.00242, 0.03346, 0.05322, 0.05359, 0.04404, 0.04343, 0.00199, 0.00201, 0.00222, 0.00160, 0.00232, 0.00164, 0.00218
stddev_solution 4, 0.00236, 0.00182, 0.00207, 0.00167, 0.01843, 0.02960, 0.02884, 0.02541, 0.02316, 0.00272, 0.00218, 0.00183, 0.00163, 0.00156, 0.00153, 0.00192
