wielkość największej monety, 300, 500, 1000, 2000, 5000, 10000, 15000, 18000, 20000, 25000, 30000, 40000, 50000, 100000
avg_classic, 0.61642, 0.61516, 0.61497, 0.61523, 0.61592, 0.61592, 0.61611, 0.61792, 0.61790, 0.61862, 0.61798, 0.62270, 0.62529, 0.70338
avg_small u, 0.04236, 0.04324, 0.04747, 0.06554, 0.12985, 0.27518, 0.42929, 0.51322, 0.55717, 0.63304, 0.64910, 0.65328, 0.65517, 0.73588
stddev_classic, 0.00511, 0.00156, 0.00083, 0.00094, 0.00121, 0.00179, 0.00161, 0.00375, 0.00365, 0.00227, 0.00172, 0.00570, 0.00552, 0.00346
stddev_small u, 0.00080, 0.00071, 0.00063, 0.00100, 0.00100, 0.00101, 0.00324, 0.00256, 0.00354, 0.00304, 0.00149, 0.00678, 0.00261, 0.00402
