reszta do wydania, 50000, 100000, 200000, 500000, 1000000
avg_classic, 0.08694, 0.20538, 0.49184, 1.32674, 2.65090
avg_solution 1, 0.88850, 2.18558, 5.49966, 14.18134, 39.15799
avg_solution 2, 0.01751, 0.03879, 0.08743, 0.20202, 0.50767
avg_solution 3, 0.27497, 0.65049, 1.70162, 3.89502, 9.92729
avg_solution 4, 0.04780, 0.10646, 0.27869, 0.61512, 1.46586
avg_small u single target, 0.42535, 1.01005, 2.69333, 6.40073, 16.15317
stddev_classic, 0.00206, 0.00279, 0.00748, 0.01604, 0.03492
stddev_solution 1, 0.00837, 0.05692, 0.17464, 0.12931, 0.33984
stddev_solution 2, 0.00015, 0.00091, 0.00445, 0.00186, 0.00173
stddev_solution 3, 0.00372, 0.02989, 0.03599, 0.06761, 0.01495
stddev_solution 4, 0.00033, 0.00747, 0.00731, 0.00566, 0.00486
stddev_small u single target, 0.00832, 0.05583, 0.01915, 0.00967, 0.03821
