największa moneta $/$ reszta do wydania, 0.007812, 0.015625, 0.03125, 0.0625, 0.125, 0.25, 0.5
avg_small u single target, 0.73408, 1.36255, 2.44998, 4.69681, 7.22131, 9.35544, 11.76111
avg_solution 2, 2.21428, 1.95866, 1.69704, 1.45540, 1.19220, 1.19990, 1.19845
avg_solution 3, 10.68472, 10.52327, 10.52540, 10.44609, 10.23954, 10.30636, 10.38426
avg_solution 4, 2.59719, 3.03138, 2.96954, 2.43588, 2.31743, 2.32760, 2.33636
stddev_small u single target, 0.00866, 0.02576, 0.05172, 0.10780, 0.16342, 0.04942, 0.22526
stddev_solution 2, 0.00403, 0.00639, 0.00760, 0.00489, 0.00642, 0.00328, 0.00439
stddev_solution 3, 0.04025, 0.14040, 0.13891, 0.04210, 0.05441, 0.04609, 0.07643
stddev_solution 4, 0.00449, 0.02377, 0.00860, 0.00301, 0.00382, 0.02547, 0.00339
