wynik, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 1048576
avg_solution 2, 0.54364, 0.78587, 1.07385, 1.36844, 1.69184, 1.95315, 2.25906, 2.55999, 2.80610, 3.13584, 3.53667, 3.71775, 3.98774, 4.33871, 4.57648, 4.89425, 5.05683, 5.40251, 5.67214, 5.97895
avg_solution 4, 1.52786, 1.86838, 2.48975, 2.57882, 2.66034, 3.28361, 3.35645, 2.93275, 3.50601, 3.50609, 2.91362, 2.93595, 2.87619, 3.57344, 3.49047, 2.89569, 3.50793, 3.38464, 2.91394, 3.41344
stddev_solution 2, 0.06130, 0.05613, 0.06212, 0.10630, 0.12973, 0.15389, 0.16157, 0.21219, 0.15893, 0.24253, 0.29326, 0.31616, 0.34273, 0.32945, 0.20359, 0.23479, 0.25289, 0.50245, 0.37835, 0.32554
stddev_solution 4, 0.15624, 0.12105, 0.12025, 0.15648, 0.14294, 0.21737, 0.22953, 0.24779, 0.32089, 0.31753, 0.24025, 0.32059, 0.23430, 0.35453, 0.27146, 0.15252, 0.31763, 0.20208, 0.20526, 0.19051
