największa moneta $/$ reszta do wydania, 0.007812, 0.015625, 0.03125, 0.0625, 0.125, 0.25, 0.5
avg_small u single target, 0.85665, 1.55400, 2.83191, 5.01574, 7.96002, 10.72966, 12.90285
avg_solution 2, 2.83425, 2.52054, 2.21667, 1.88549, 1.56501, 1.51981, 1.55608
avg_solution 3, 12.83239, 12.83492, 12.93205, 12.70317, 12.68886, 12.58471, 12.65505
avg_solution 4, 3.20114, 3.76602, 3.68651, 3.01433, 2.90193, 2.88819, 2.90680
stddev_small u single target, 0.01925, 0.01541, 0.05240, 0.09690, 0.24118, 0.60554, 1.28242
stddev_solution 2, 0.06647, 0.08037, 0.09130, 0.04629, 0.03453, 0.10029, 0.12933
stddev_solution 3, 0.19120, 0.22692, 0.23345, 0.22855, 0.24762, 0.34492, 0.20540
stddev_solution 4, 0.06307, 0.08881, 0.06992, 0.06778, 0.07675, 0.10965, 0.06008
