wielkość największej monety, 300, 500, 1000, 2000, 5000, 10000, 15000, 18000, 20000, 25000, 30000, 40000, 50000, 100000
avg_classic, 0.61584, 0.61452, 0.61443, 0.61549, 0.61605, 0.61571, 0.61541, 0.61499, 0.61490, 0.61449, 0.61484, 0.61424, 0.61789, 0.62390
avg_small u, 0.04184, 0.04186, 0.04178, 0.07032, 0.11071, 0.28303, 0.40700, 0.51663, 0.56019, 0.62251, 0.64493, 0.64534, 0.64680, 0.65467
stddev_classic, 0.00355, 0.00112, 0.00099, 0.00125, 0.00235, 0.00312, 0.00169, 0.00157, 0.00192, 0.00151, 0.00139, 0.00166, 0.00390, 0.00149
stddev_small u, 0.00079, 0.00070, 0.00058, 0.00093, 0.00079, 0.00086, 0.00123, 0.00123, 0.00087, 0.00126, 0.00128, 0.00175, 0.00206, 0.00230
