liczba monet, 200, 300, 400, 500, 600, 700, 800, 1000, 1200, 1600, 2000, 2400, 2800, 3200, 3600, 4000
avg_classic, 0.08676, 0.12523, 0.16669, 0.21203, 0.25892, 0.30922, 0.35632, 0.44725, 0.53021, 0.68765, 0.84355, 0.99304, 1.13937, 1.27352, 1.41057, 1.54853
avg_solution 2, 0.31453, 0.31419, 0.31419, 0.31468, 0.32486, 0.35900, 0.42531, 0.42480, 0.42555, 0.42458, 0.45776, 0.51791, 0.53914, 0.53949, 0.54111, 0.54012
avg_solution 4, 0.79894, 0.79463, 0.78278, 0.77903, 0.80428, 0.87886, 1.03136, 1.03148, 1.02819, 1.02875, 1.03832, 1.05242, 1.05933, 1.06023, 1.05926, 1.05950
stddev_classic, 0.00180, 0.00115, 0.00062, 0.00117, 0.00114, 0.00155, 0.00177, 0.00236, 0.00267, 0.00435, 0.00409, 0.00669, 0.00489, 0.00399, 0.00327, 0.00396
stddev_solution 2, 0.00147, 0.00121, 0.00252, 0.00283, 0.03213, 0.05387, 0.00305, 0.00467, 0.00226, 0.00100, 0.05407, 0.04746, 0.00406, 0.00351, 0.00317, 0.00328
stddev_solution 4, 0.00194, 0.00839, 0.00805, 0.00185, 0.07594, 0.12216, 0.00348, 0.00483, 0.00359, 0.00289, 0.01594, 0.01343, 0.00252, 0.00207, 0.00264, 0.00162
