liczba monet, 200, 300, 400, 500, 600, 700, 800, 1000, 1200, 1600, 2000, 2400, 2800, 3200, 3600, 4000
avg_classic, 0.06668, 0.08739, 0.10963, 0.13332, 0.16097, 0.18761, 0.21548, 0.27037, 0.31720, 0.42871, 0.54839, 0.68202, 0.83116, 0.98793, 1.14793, 1.31550
avg_solution 2, 0.31203, 0.31375, 0.30300, 0.29061, 0.27921, 0.24507, 0.24424, 0.24446, 0.24482, 0.21036, 0.19883, 0.19822, 0.19883, 0.19721, 0.19759, 0.19904
avg_solution 4, 0.79766, 0.79819, 0.77991, 0.76250, 0.74343, 0.68901, 0.68952, 0.68929, 0.68929, 0.63545, 0.61745, 0.61778, 0.61727, 0.61675, 0.61802, 0.61786
stddev_classic, 0.00422, 0.00453, 0.00559, 0.00490, 0.00426, 0.00530, 0.00513, 0.00523, 0.00482, 0.00533, 0.00617, 0.01156, 0.01643, 0.01623, 0.01221, 0.01699
stddev_solution 2, 0.00138, 0.00194, 0.03463, 0.04529, 0.05175, 0.05506, 0.05687, 0.05542, 0.05649, 0.03231, 0.00139, 0.00160, 0.00200, 0.00172, 0.00174, 0.00124
stddev_solution 4, 0.00227, 0.00236, 0.05506, 0.07181, 0.08304, 0.08901, 0.08915, 0.08878, 0.08935, 0.05390, 0.00196, 0.00178, 0.00215, 0.00169, 0.00210, 0.00221
