reszta do wydania, 50000, 100000, 200000, 500000, 1000000
avg_classic, 0.09101, 0.21940, 0.56220, 1.57232, 3.18901
avg_solution 1, 0.97148, 2.38452, 6.00193, 15.16204, 36.63291
avg_solution 2, 0.03125, 0.06937, 0.20644, 0.43582, 0.96038
avg_solution 3, 0.30832, 0.72894, 1.79576, 4.42005, 10.50391
avg_solution 4, 0.07097, 0.15216, 0.49455, 1.11415, 2.35532
avg_small u single target, 0.47915, 1.12794, 2.97800, 7.41687, 17.38071
stddev_classic, 0.00821, 0.01644, 0.05880, 0.17350, 0.25411
stddev_solution 1, 0.09433, 0.21537, 0.56149, 1.17271, 3.05638
stddev_solution 2, 0.00479, 0.01002, 0.02735, 0.04069, 0.05999
stddev_solution 3, 0.03552, 0.09888, 0.22852, 0.42690, 0.70267
stddev_solution 4, 0.00988, 0.01790, 0.07126, 0.12989, 0.14161
stddev_small u single target, 0.05716, 0.14294, 0.36623, 0.69265, 1.22507
