największa moneta $/$ reszta do wydania, 0.007812, 0.015625, 0.03125, 0.0625, 0.125, 0.25, 0.5
avg_small u single target, 0.83995, 1.58066, 2.80816, 5.22641, 8.30330, 10.64463, 12.60761
avg_solution 2, 2.69900, 2.44899, 2.05611, 1.78550, 1.45044, 1.14072, 0.85059
avg_solution 3, 12.65820, 12.85547, 12.49443, 12.35150, 12.08746, 11.71137, 11.70978
avg_solution 4, 3.16572, 3.70071, 3.57821, 2.91636, 2.76020, 2.72042, 2.03539
stddev_small u single target, 0.02100, 0.06492, 0.05252, 0.24534, 0.13978, 0.19224, 0.40943
stddev_solution 2, 0.14159, 0.12542, 0.08332, 0.09526, 0.06978, 0.06708, 0.06127
stddev_solution 3, 0.49305, 0.50224, 0.35370, 0.42870, 0.31021, 0.38306, 0.44398
stddev_solution 4, 0.15915, 0.14913, 0.15102, 0.10332, 0.11741, 0.11369, 0.08602
