największa moneta $/$ reszta do wydania, 0.007812, 0.015625, 0.03125, 0.0625, 0.125, 0.25, 0.5
avg_small u single target, 0.71342, 1.32008, 2.37762, 4.52604, 7.08262, 9.44075, 11.07574
avg_solution 2, 2.50435, 2.20449, 1.91958, 1.63492, 1.34243, 1.06551, 0.80324
avg_solution 3, 11.42523, 11.35431, 11.33074, 11.17397, 10.95622, 10.67255, 10.51902
avg_solution 4, 2.79907, 3.29195, 3.22538, 2.63642, 2.54490, 2.48337, 1.86423
stddev_small u single target, 0.00169, 0.00300, 0.00316, 0.01119, 0.00630, 0.02144, 0.06051
stddev_solution 2, 0.00874, 0.01054, 0.01054, 0.00305, 0.00541, 0.00371, 0.00388
stddev_solution 3, 0.01143, 0.01208, 0.01786, 0.01053, 0.01286, 0.00842, 0.00932
stddev_solution 4, 0.00699, 0.02309, 0.01167, 0.00444, 0.00638, 0.00822, 0.00360
