wielkość największej monety, 300, 500, 1000, 2000, 5000, 10000, 15000, 18000, 20000, 25000, 30000, 40000, 50000, 100000
avg_classic, 0.61581, 0.61495, 0.61438, 0.61494, 0.61519, 0.61582, 0.61632, 0.61630, 0.61764, 0.61643, 0.61604, 0.61641, 0.61729, 0.62545
avg_small u, 0.04188, 0.04231, 0.04515, 0.05189, 0.10129, 0.18459, 0.28519, 0.36090, 0.41248, 0.48626, 0.55925, 0.63987, 0.64833, 0.65709
stddev_classic, 0.00422, 0.00132, 0.00083, 0.00090, 0.00129, 0.00153, 0.00132, 0.00126, 0.00284, 0.00103, 0.00181, 0.00135, 0.00178, 0.00414
stddev_small u, 0.00058, 0.00037, 0.00100, 0.00141, 0.00346, 0.01379, 0.02267, 0.03196, 0.04846, 0.04251, 0.03676, 0.01545, 0.00136, 0.00363
