liczba monet, 200, 300, 400, 500, 600, 700, 800, 1000, 1200, 1600, 2000, 2400, 2800, 3200, 3600, 4000
avg_classic, 0.07746, 0.10922, 0.14586, 0.18157, 0.21454, 0.23140, 0.26429, 0.31663, 0.39822, 0.49250, 0.59905, 0.66661, 0.78824, 0.84933, 0.96240, 1.06206
avg_solution 2, 0.37150, 0.37373, 0.51212, 0.50571, 0.50784, 0.50539, 0.63936, 0.62830, 0.63514, 0.77332, 0.77759, 0.76701, 0.78078, 0.89183, 0.76832, 0.77349
avg_solution 4, 0.94478, 0.93981, 1.24628, 1.26571, 1.25339, 1.24812, 1.30887, 1.32262, 1.30569, 1.34819, 1.31470, 1.31341, 1.34001, 1.35310, 1.32424, 1.31686
stddev_classic, 0.00853, 0.01071, 0.01687, 0.01816, 0.04187, 0.02370, 0.02289, 0.01632, 0.03419, 0.04377, 0.05049, 0.04004, 0.03674, 0.02117, 0.02430, 0.01631
stddev_solution 2, 0.01373, 0.01490, 0.02713, 0.01489, 0.02880, 0.02216, 0.02128, 0.01527, 0.02159, 0.03215, 0.05200, 0.02758, 0.03936, 0.01995, 0.02696, 0.02732
stddev_solution 4, 0.02544, 0.02374, 0.04080, 0.05975, 0.06493, 0.04761, 0.03435, 0.03935, 0.02466, 0.04384, 0.05101, 0.05160, 0.06086, 0.04048, 0.04694, 0.03423
