reszta do wydania, 50000, 100000, 200000, 500000, 1000000
avg_classic, 0.08773, 0.18285, 0.40094, 1.04831, 2.36559
avg_solution 1, 1.08992, 2.75277, 7.12574, 18.44691, 44.45963
avg_solution 2, 0.03438, 0.13050, 0.35832, 0.78033, 0.56976
avg_solution 3, 0.34403, 0.83854, 1.99831, 5.32671, 11.40388
avg_solution 4, 0.07883, 0.24171, 0.57757, 1.33235, 1.70391
avg_small u single target, 0.52351, 1.32897, 3.25716, 8.69663, 18.46095
stddev_classic, 0.00111, 0.00675, 0.01610, 0.01897, 0.07540
stddev_solution 1, 0.04464, 0.10136, 0.29733, 0.23076, 0.69667
stddev_solution 2, 0.00185, 0.00473, 0.01427, 0.04230, 0.01370
stddev_solution 3, 0.01695, 0.03700, 0.14132, 0.14521, 0.18340
stddev_solution 4, 0.00438, 0.01171, 0.02711, 0.04539, 0.04139
stddev_small u single target, 0.02554, 0.09529, 0.15022, 0.20418, 0.36360
