wielkość największej monety, 300, 500, 1000, 2000, 5000, 10000, 15000, 18000, 20000, 25000, 30000, 40000, 50000, 100000
avg_classic, 0.61851, 0.61706, 0.61492, 0.61538, 0.61508, 0.61513, 0.61796, 0.61710, 0.61785, 0.61699, 0.61831, 0.62041, 0.62241, 0.70648
avg_small u, 0.04279, 0.04295, 0.04745, 0.06550, 0.12926, 0.27655, 0.42982, 0.51263, 0.55659, 0.63165, 0.64884, 0.65108, 0.65893, 0.73052
stddev_classic, 0.00754, 0.00608, 0.00142, 0.00177, 0.00126, 0.00105, 0.00334, 0.00451, 0.00531, 0.00177, 0.00191, 0.00418, 0.00156, 0.03593
stddev_small u, 0.00251, 0.00042, 0.00061, 0.00080, 0.00072, 0.00133, 0.00326, 0.00232, 0.00280, 0.00192, 0.00265, 0.00344, 0.01868, 0.01107
